title,description,url,content
World Bank Open Data | Data,World Bank Open Data from The World Bank: Data,https://data.worldbank.org/,data page new start data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use world bank open data free open access global develop data close brows countri indic recent boost qualiti practic guid fieldwork train beverag eas amid suppli maI new intern comparison program data light global economi live fu maI observ world menstrual hygien understand data maI view news view learn open data extrem poverti proport popul live extrem poverti significantli new food nutrit billion peopl could afford healthi million new atla sustain develop recent effect pandem develop nutrit statu age rural health nutrit popul statist maI popul maI world develop maI view data open data list avail world bank analysi tool time seri data varieti librari access data collect sampl busi global data facil world global data facil innov global instrument critic data impact intern debt statist access comprehens annual statist extern debt stock intern comparison program explor power price econom data methodolog behind statist world develop primari world bank collect develop intern open explor raw data world bank manag global access basic inform world open data understand open data get open data live measur studi household gener improv surveI build global consumpt sourc data household consumpt help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Products | Data,Products from The World Bank: Data,https://data.worldbank.org/products,data page close brows countri indic data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use intern debt report intern debt report formerli intern debt statist annual public world bank extern debt statist analysi report world bank debt system aggreg extern debt comprehens pictur extern borrow type borrow recent academ research debt transpar provid empir evid evolut offici privat past actual debt servic defer bilater creditor monthli bilater year learn atla sustain develop new visual guid data develop atla sustain develop built around world develop world compil statist global develop qualiti sustain develop select analyz stimul discuss measur brows atla underli data avail world develop avail follow atla sustain develop atla sustain develop world develop world develop public collect data mani go back compar statist develop around divid seven world poverti global new previous avail provid data learn third parti data countri help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Contact | Data,Contact from The World Bank: Data,https://data.worldbank.org/about/contact,data page close brows countri indic data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use contact mission world develop data group provid nation intern statist within outsid bank improv capac member produc use statist part intern statist data group work new statist data collect statist contact inform get data contact frequent us help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Get started | Data,Get started from The World Bank: Data,https://data.worldbank.org/about/get-started,data page close brows countri indic data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use get site design make world bank data easi data found use free charg minim get waI access individu data seri entir search bar site menu easiest waI look data use search box top search indic search box list match enter simpli select one match instantli displaI note displaI one indic look multipl addit search displaI one indic start click home icon right search also brows found site menu data allow option displaI data countri provid data singl countri indic provid data conveni option would like use data applic like look button data either right main data displaI site subset avail world extens time seri advanc slice data grab small code let emb data chart map anoth great thing new data updat look button top main chart map displaI data chart previou data ne updat access data web data waI web access data interfac choic custom data live data built data data visit develop section data comprehens list data world bank avail data plu mani use raw data easili queri tool custom specif micro data world librari access collect sampl busi inform peopl live oper mani avail open check use associ open data world bank world bank transpar account essenti develop process central mission allevi commit open also driven desir foster public partnership particip develop wide rang knowledg world first step share knowledg freeli statist data keI part knowledg easili access web world bank free open access comprehens set data develop around togeth data access data allow advocaci make measur also valuabl support research understand global continu add avail welcom improv site use get data contact frequent us help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Frequently asked questions | Data,Frequently asked questions from The World Bank: Data,https://data.worldbank.org/about/faq,data close brows countri indic data menu data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use frequent frequent avail knowledg base frequent data base calendar year fiscal year share map social convers convers monetari union maI also ask question via help desk get data contact frequent us help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Third Party Apps | Data,Third Party Apps from The World Bank: Data,https://data.worldbank.org/products/third-party-apps,data close brows countri indic data menu data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use third parti world open data made keI data world develop develop global financ busi free applic like featur let us written data world bank world bank group respons endors content public data explor motion visual explor data world bank mani provid request handl integr world bank data make easi pull data displaI custom python access world data extens design data data remot data access librari data analysi access world bank data well mani data anoth option although also work anoth although longer activ modul also access climat data modul modul offer excel read world bank data directli integr option use packag also access data mani packag access climat data seri world bank modul live access within modul use add chart third parti data countri help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Countries | Data,Countries from The World Bank: Data,https://data.worldbank.org/country,data page close brows countri indic data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use east pacif central middl east north north south high incom low middl incom low incom lower middl incom middl incom upper middl incom blend dividend dividend dividend dividend small small pacif island small small world central east pacif high area central high union fragil conflict affect heavili indebt poor high least un classif middl east north high high world b c e f g h j k l n p q r u v w z b bolivia brazil virgin c canada cayman central republ chad channel chile china costa cote curacao republ e el equatori guinea f finland g guinea h hong china iceland isl man j japan jordan k republ l macao china mali morocco mozambiqu n new new north northern p panama new guinea q r feder san sao tome sierra republ south south sri martin vincent republ tonga u unit unit kingdom unit v nam virgin w west bank z zimbabw region east pacif central middl east north north south incom high incom low middl incom low incom lower middl incom middl incom upper middl incom blend demograph dividend dividend dividend dividend dividend small small small pacif island small small countri world central east pacif high area central high union fragil conflict affect heavili indebt poor high least un classif middl east north high high world help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Summary Terms of Use | Data,Summary Terms of Use from The World Bank: Data,https://data.worldbank.org/summary-terms-of-use,data page close brows countri indic data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use summari use unless otherwis data indic free displaI includ data commerci noncommerci cost creativ common attribut intern addit basic maI use agre compli also agre follow mandatori bind licens can not settl amic shall resolv accord follow pursuant notic mediat reason either licensor disput shall mediat accord licensor copyright notic none accord notic languag use mediat shall unless otherwis disput settl within daI follow date notic mediat either licensor pursuant notic arbitr reason elect disput final determin arbitr shall accord licensor copyright notic none accord arbitr arbitr tribun shall consist sole arbitr languag shall unless otherwis place arbitr shall licensor arbitr shall remot via telephon confer written whenev practic must includ attribut data use manner includ agre provid attribut world bank data follow world data sourc access agre includ requir data requir maI meet requir provid uniform resourc locat maI use applic facilit access whether separ web site anoth type must claim impli world bank use use world conjunct provid third maI without consent origin data maI subject addit includ indic world bank respect data agre world bank shall liabl connect use summari use list world bank data pleas read actual agreement use avail use also see world bank agre condit summari use restrict data help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Data Portals & Tools | Data,Data Portals & Tools from The World Bank: Data,https://data.worldbank.org/products/tools,data close brows countri indic data menu data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use data one effect waI displaI develop visual displaI data easier better understand provid data variou well access underli data latest data visual find list mani avail atla social protect resili equiti climat chang knowledg portal countri polici institut assess debt portal financi inclus data basic set financi inclus gender data portal global consumpt global report nutrit popul data statist data joint child malnutrit poverti inequ platform data statist capac interact world bank data give visual entri point brows statist public inform center check public data explor public data explor new experiment product design peopl mash data line bar bubbl watch move chang highlight differ chang chart easili share even emb data explor world develop check public data explor public data search public data search perform search data instantli see numer graphic search see thumbnail graph top search page bank data link interact chart compar select data around also emb button upper corner chart search search world develop search data like world trade trade tool give access bilater trade base variou product product trade data tariff well simul calcul effect singl tariff calcul trade analyz trade competit perform global valu chain sever use trade made avail trade statist countri indic access sever analyt world bank includ export valu ad labor content modul measur ad obtain like frequenc coverag ratio impact duti free along visual access visit third parti data countri help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
Indicators | Data,Indicators from The World Bank: Data,https://data.worldbank.org/indicator,data page close brows countri indic data menu page data brows countri indic us get help desk contact data improv statist capac global data facil intern comparison program power pariti intern household surveI network joint extern debt hub open data quarterli extern debt statist world develop intern debt statist countri data develop use agricultur rural develop aid effect climat chang economi growth educ energi mine environ extern debt financi sector gender health infrastructur poverti privat sector public sector scienc technolog social develop social protect labor trade urban develop featur agricultur rural develop agricultur land total agricultur agricultur land land agricultur per arabl land valu ad arabl land land arabl land per cereal yield per crop product index emploI femal femal emploI male male fertil consumpt per hectar arabl food product index forest area land forest area land area land cereal product livestock product index perman cropland land rural popul rural popul total surfac area aid effect exclud technic current incid tuberculosi incom share matern mortal ratio per live mortal live net oda receiv net oda receiv central govern net oda receiv gross capit net oda receiv primari net oda receiv per net migrat net offici develop assist receiv poverti ratio daI pregnant prenat care preval total popul preval height age primari complet total relev age school primari secondari gender pariti index technic current climat chang climat chang knowledg portal carbon dashboard access electr agricultur land total agricultur agricultur land land valu ad annual total intern annual total cubic arabl land land per public sector manag cluster averag cereal yield per eas busi rank electr power consumpt per energi use oil equival per forest area land forest area land area elev total land methan mortal live nitrou oxid metric popul growth popul urban million total popul live elev total total poverti ratio daI preval weight age primari complet total relev age renew electr output total electr renew energi consumpt total final energi school primari secondari gender pariti index terrestri marin total territori total greenhous ga urban popul urban popul total economi growth household consumpt data statist net particul emiss damag valu ad central govern total use intellectu current use intellectu receipt current current account balanc current expens good extern debt stock extern debt total current foreign direct net current growth per per growth per intern per atla method per intern atla method intern exclud technic current gross capit format gross good industri valu ad deflat consum medium valu ad valu net oda receiv net oda receiv per net offici develop assist receiv convers per intern person receiv price level ratio convers factor market exchang rate exclud debt total technic current total debt servic primari total current educ educ servic deliveri femal male govern expenditur total govern expenditur total govern govern expenditur per primari per govern expenditur per secondari per govern expenditur per tertiari per gross intak ratio first grade primari femal relev age gross intak ratio first grade primari male relev age labor femal total labor labor total literaci adult femal literaci adult male literaci adult total peopl literaci youth femal literaci youth male literaci youth total peopl persist last grade femal persist last grade male popul total popul total primari complet femal relev age primari complet male relev age primari complet total relev age progress secondari femal progress secondari male primari femal femal male male school preprimari school primari school primari school primari gender pariti index school primari secondari gender pariti index school secondari school secondari school tertiari train primari educ total femal femal labor male male labor total total labor energi mine energi open data platform access electr altern nuclear energi total energi electr power consumpt per energi net energi energi intens level primari energi energi use oil equival per fossil fuel energi consumpt fuel merchandis per unit energi use per oil invest energi privat particip merchandis renew electr output total electr renew energi consumpt total final energi time get electr total natur environ access electr net particul emiss damag agricultur land land annual total intern annual total cubic arabl land land bird per energi intens level primari energi fish forest area land forest area land area land area elev total land mammal methan nitrou oxid metric air mean annual exposur per cubic air popul expos exce guidelin valu plant speci popul live elev total popul live urban renew electr output total electr renew energi consumpt total final energi renew intern per renew intern total cubic surfac area terrestri marin total territori total greenhous ga total natur extern debt debt data current account balanc current extern debt stock extern debt privat current extern debt public publicli current extern debt current extern debt total current foreign direct net current exclud technic current current net oda receiv net oda receiv per net offici develop assist receiv person receiv debt total technic current total debt servic primari total current use credit current financi sector financi inclus teller bank capit asset ratio bank nonperform total gross broad moneI broad moneI growth commerci bank deposit interest rate depth credit inform index domest credit provid financi sector domest credit privat sector foreign direct net current consum interest rate spread rate minu deposit intern migrant total interest rate list domest total market capit list domest market capit list domest net migrat offici exchang rate per period person receiv real interest rate risk premium rate minu treasuri bill global equiti indic stock total valu stock turnov ratio domest strength legal index total current gender gender equal data statist adolesc fertil rate per skill health staff femal femal male male femal male contracept method marri famili femal femal famili male male emploI femal femal emploI male male emploI femal femal emploI male male emploI femal femal emploI male male fertil total per femal particip ownership femal top manag gross intak ratio first grade primari femal relev age gross intak ratio first grade primari male relev age labor forc particip femal femal popul labor forc particip male male popul labor femal total labor life expect femal life expect male literaci adult femal literaci adult male literaci youth femal literaci youth male matern mortal ratio per live persist last grade femal persist last grade male pregnant prenat care preval femal preval male primari complet femal relev age primari complet male relev age progress secondari femal progress secondari male proport nation proport time spent unpaid domest care femal hour proport time spent unpaid domest care male hour femal femal male male school primari gender pariti index school primari secondari gender pariti index teenag current femal femal labor male male labor youth femal femal labor forc youth male male labor forc vulner femal femal vulner male male wage salari femal femal wage salari male male make inform regard sexual contracept use reproduct health care age health servic deliveri adolesc fertil rate per age depend ratio birth crude skill health staff caus communic prenat nutrit caus injuri caus complet birth registr complet death registr inform contracept method marri death crude diabet preval popul fertil total per hospit measl incid tuberculosi intern migrant total life expect femal life expect male life expect total matern mortal ratio per live mortal road traffic injuri mortal infant live mortal neonat live mortal live net migrat number surgic popul total popul total popul total popul growth femal total total pregnant prenat care preval femal preval male preval total popul preval anemia among preval weight height preval sever weight height preval height age preval undernourish preval weight age preval weight height refuge popul countri territori asylum refuge popul countri territori origin risk catastroph expenditur surgic care peopl risk expenditur surgic care peopl specialist surgic teenag current unmet ne contracept marri infrastructur air regist carrier annual total intern annual total cubic contain port traffic foot equival electr power consumpt per fix fix telephon invest energi privat particip invest transport privat particip invest water sanit privat particip mobil cellular public privat invest rail renew intern per renew intern total cubic secur million poverti poverti inequ platform averag growth rate per real surveI mean consumpt bottom popul averag growth rate per real surveI mean consumpt total popul index incom share fourth incom share highest incom share highest incom share incom share incom share second incom share third popul live urban poverti gap daI poverti ratio daI poverti ratio nation poverti surveI mean consumpt incom per bottom popul per surveI mean consumpt incom per total popul per privat sector busi enterpris household consumpt data statist busi extent disclosur index disclosur depth credit inform index domest credit privat sector eas busi rank electr due theft vandal spend financ work capit tax femal particip ownership femal top manag fuel merchandis intern total intern receipt total invest energi privat particip invest transport privat particip invest water sanit privat particip lead time median case lead time median case logist perform overal medium merchandis merchandis merchandis trade net barter trade index new regist merchandis regist busi regist femal regist male strength legal index time get electr time start busi time start femal time start male time spent deal govern senior manag total tax contribut rate public sector data statist capac countri polici institut econom manag cluster averag social cluster averag public sector manag cluster averag structur cluster averag central govern total expens resourc alloc index intent militari expenditur militari expenditur gener govern net acquisit financi asset net incurr total net invest nonfinanci asset net net borrow proport nation exclud statist capac score strength legal index tax revenu total tax contribut rate scienc technolog use intellectu current use intellectu receipt current patent patent research develop expenditur million scientif technic journal million social develop adolesc fertil rate per femal femal male male total labor forc particip femal femal popul labor forc particip male male popul life expect femal life expect male preval femal preval male proport nation refuge popul countri territori asylum refuge popul countri territori origin school primari gender pariti index school primari secondari gender pariti index femal femal labor male male labor vulner femal femal vulner male male social protect labor atla social protect diagnost femal femal male male total famili femal femal famili male male emploI femal femal emploI male male emploI femal femal emploI male male emploI femal femal emploI male male emploI popul total per person emploI labor forc particip femal femal popul labor forc particip male male popul labor femal total labor labor total femal femal labor male male labor total total labor youth femal femal labor forc youth male male labor forc vulner femal femal vulner male male wage salari femal femal wage salari male male trade world trade solut energi net energi good fuel merchandis good intern total intern receipt total lead time median case lead time median case logist perform overal medium merchandis merchandis merchandis trade net barter trade index merchandis urban develop mortal road traffic injuri air mean annual exposur per cubic air popul expos exce guidelin valu popul densiti per land popul citi urban popul urban million total popul live urban urban popul urban popul total agricultur rural develop aid effect climat chang economi growth educ energi mine environ extern debt financi sector gender health infrastructur poverti privat sector public sector scienc technolog social develop social protect labor trade urban develop help us improv site help feedback legal privaci notic access inform contact world bank report fraud corrupt site optim function give best possibl continu navig beyond learn click
